area,start_date,end_date,value
Bitterroot,1990-04-01,1990-04-30,15.921616826206446
Gallatin,1990-04-01,1990-04-30,-38.536700181663036
Paradise Valley,1990-04-01,1990-04-30,-3.405877330340445
Bitterroot,1990-05-01,1990-05-31,30.628922298550606
Gallatin,1990-05-01,1990-05-31,-37.01803476177156
Paradise Valley,1990-05-01,1990-05-31,-14.921031817793846
Bitterroot,1990-06-01,1990-06-30,-79.10080470703542
Gallatin,1990-06-01,1990-06-30,-100.72860888764262
Paradise Valley,1990-06-01,1990-06-30,-93.76033777929842
Bitterroot,1990-07-01,1990-07-31,-124.22062480449677
Gallatin,1990-07-01,1990-07-31,-139.39292632043362
Paradise Valley,1990-07-01,1990-07-31,-119.65792850218713
Bitterroot,1990-08-01,1990-08-31,-67.63028014451265
Gallatin,1990-08-01,1990-08-31,-95.87665362656116
Paradise Valley,1990-08-01,1990-08-31,-97.03179587610066
Bitterroot,1990-09-01,1990-09-30,-99.34417119715363
Gallatin,1990-09-01,1990-09-30,-104.1257835328579
Paradise Valley,1990-09-01,1990-09-30,-77.02703693509102
Bitterroot,1990-10-01,1990-10-31,62.07399060204625
Gallatin,1990-10-01,1990-10-31,-52.374968249350786
Paradise Valley,1990-10-01,1990-10-31,18.081076295115054
Bitterroot,1990-11-01,1990-11-30,98.2992813885212
Gallatin,1990-11-01,1990-11-30,-18.453989129513502
Paradise Valley,1990-11-01,1990-11-30,31.886906776577234
Bitterroot,1990-12-01,1990-12-31,60.78306555002928
Gallatin,1990-12-01,1990-12-31,-7.937552081421018
Paradise Valley,1990-12-01,1990-12-31,28.594402551651
Bitterroot,1991-01-01,1991-01-31,71.24458539485931
Gallatin,1991-01-01,1991-01-31,-16.63347782380879
Paradise Valley,1991-01-01,1991-01-31,12.882498882710934
Bitterroot,1991-02-01,1991-02-28,17.425139099359512
Gallatin,1991-02-01,1991-02-28,-33.20858536660671
Paradise Valley,1991-02-01,1991-02-28,-4.074562415480614
Bitterroot,1991-03-01,1991-03-31,41.16752831451595
Gallatin,1991-03-01,1991-03-31,-11.24620375270024
Paradise Valley,1991-03-01,1991-03-31,39.929937180131674
Bitterroot,1991-04-01,1991-04-30,33.025976662989706
Gallatin,1991-04-01,1991-04-30,-5.881121136248112
Paradise Valley,1991-04-01,1991-04-30,29.92430217564106
Bitterroot,1991-05-01,1991-05-31,1.1256126910448074
Gallatin,1991-05-01,1991-05-31,-5.345732234418392
Paradise Valley,1991-05-01,1991-05-31,32.09470685571432
Bitterroot,1991-06-01,1991-06-30,-27.216367669403553
Gallatin,1991-06-01,1991-06-30,-85.02659655921161
Paradise Valley,1991-06-01,1991-06-30,-97.70690727606416
Bitterroot,1991-07-01,1991-07-31,-156.60819479823112
Gallatin,1991-07-01,1991-07-31,-179.0924923028797
Paradise Valley,1991-07-01,1991-07-31,-150.75634505832568
Bitterroot,1991-08-01,1991-08-31,-120.58599271439016
Gallatin,1991-08-01,1991-08-31,-134.2740053012967
Paradise Valley,1991-08-01,1991-08-31,-114.33653073012829
Bitterroot,1991-09-01,1991-09-30,-71.75042545050383
Gallatin,1991-09-01,1991-09-30,-49.92778989672661
Paradise Valley,1991-09-01,1991-09-30,-27.122491523623466
Bitterroot,1991-10-01,1991-10-31,-27.995665333233774
Gallatin,1991-10-01,1991-10-31,-47.339466609060764
Paradise Valley,1991-10-01,1991-10-31,-15.174991250038147
Bitterroot,1991-11-01,1991-11-30,168.7726932093501
Gallatin,1991-11-01,1991-11-30,6.790174367371947
Paradise Valley,1991-11-01,1991-11-30,74.02634202083573
Bitterroot,1991-12-01,1991-12-31,85.07779336720705
Gallatin,1991-12-01,1991-12-31,-19.131070647388697
Paradise Valley,1991-12-01,1991-12-31,20.935991413891315
Bitterroot,1992-01-01,1992-01-31,37.33664198219776
Gallatin,1992-01-01,1992-01-31,-21.74979519844055
Paradise Valley,1992-01-01,1992-01-31,-12.982967326417565
Bitterroot,1992-02-01,1992-02-29,21.248029495123774
Gallatin,1992-02-01,1992-02-29,-28.366750717163086
Paradise Valley,1992-02-01,1992-02-29,-1.8151702284812927
Bitterroot,1992-03-01,1992-03-31,-21.179685935378075
Gallatin,1992-03-01,1992-03-31,-45.34079945832491
Paradise Valley,1992-03-01,1992-03-31,-23.233019941020757
Bitterroot,1992-04-01,1992-04-30,27.90048159658909
Gallatin,1992-04-01,1992-04-30,-39.02961443923414
Paradise Valley,1992-04-01,1992-04-30,6.048525631427765
Bitterroot,1992-05-01,1992-05-31,-92.26537937112153
Gallatin,1992-05-01,1992-05-31,-80.64343923516572
Paradise Valley,1992-05-01,1992-05-31,-78.61668316274881
Bitterroot,1992-06-01,1992-06-30,-65.03477850742638
Gallatin,1992-06-01,1992-06-30,-28.29548889398575
Paradise Valley,1992-06-01,1992-06-30,-16.805633733049035
Bitterroot,1992-07-01,1992-07-31,-63.75273529998958
Gallatin,1992-07-01,1992-07-31,-104.77610922185704
Paradise Valley,1992-07-01,1992-07-31,-84.05043064849451
Bitterroot,1992-08-01,1992-08-31,-103.29107093811035
Gallatin,1992-08-01,1992-08-31,-132.09330473840237
Paradise Valley,1992-08-01,1992-08-31,-130.8155162781477
Bitterroot,1992-09-01,1992-09-30,-21.426776811480522
Gallatin,1992-09-01,1992-09-30,-73.75137042021379
Paradise Valley,1992-09-01,1992-09-30,-48.29347714781761
Bitterroot,1992-10-01,1992-10-31,-7.002666873857379
Gallatin,1992-10-01,1992-10-31,-24.924379035830498
Paradise Valley,1992-10-01,1992-10-31,-12.51568478345871
Bitterroot,1992-11-01,1992-11-30,86.78303771000355
Gallatin,1992-11-01,1992-11-30,0.836776003241539
Paradise Valley,1992-11-01,1992-11-30,26.544711699709296
Bitterroot,1992-12-01,1992-12-31,110.64889261778444
Gallatin,1992-12-01,1992-12-31,-3.4236095435917377
Paradise Valley,1992-12-01,1992-12-31,59.273413613438606
Bitterroot,1993-01-01,1993-01-31,56.751422906294465
Gallatin,1993-01-01,1993-01-31,-6.2271668612957
Paradise Valley,1993-01-01,1993-01-31,11.403604442253709
Bitterroot,1993-02-01,1993-02-28,23.33357009291649
Gallatin,1993-02-01,1993-02-28,-6.195440873969346
Paradise Valley,1993-02-01,1993-02-28,9.528106115758419
Bitterroot,1993-03-01,1993-03-31,29.584791522473097
Gallatin,1993-03-01,1993-03-31,-41.855834528803825
Paradise Valley,1993-03-01,1993-03-31,-5.854810645338148
Bitterroot,1993-04-01,1993-04-30,54.85946677625179
Gallatin,1993-04-01,1993-04-30,-7.843612362630665
Paradise Valley,1993-04-01,1993-04-30,48.893702536821365
Bitterroot,1993-05-01,1993-05-31,-53.250138549134135
Gallatin,1993-05-01,1993-05-31,-48.06951244175434
Paradise Valley,1993-05-01,1993-05-31,-33.74228314124048
Bitterroot,1993-06-01,1993-06-30,25.655344545841217
Gallatin,1993-06-01,1993-06-30,-20.768379639834166
Paradise Valley,1993-06-01,1993-06-30,-8.451379120349884
Bitterroot,1993-07-01,1993-07-31,-21.871513668447733
Gallatin,1993-07-01,1993-07-31,-10.48742100596428
Paradise Valley,1993-07-01,1993-07-31,-32.81385740637779
Bitterroot,1993-08-01,1993-08-31,-50.11269298475236
Gallatin,1993-08-01,1993-08-31,-57.72413182258606
Paradise Valley,1993-08-01,1993-08-31,-76.83530980348587
Bitterroot,1993-09-01,1993-09-30,-72.41792164742947
Gallatin,1993-09-01,1993-09-30,-80.0121549256146
Paradise Valley,1993-09-01,1993-09-30,-80.0121549256146
Bitterroot,1993-10-01,1993-10-31,6.549511551856995
Gallatin,1993-10-01,1993-10-31,-30.05928187817335
Paradise Valley,1993-10-01,1993-10-31,-4.484657317399979
Bitterroot,1993-11-01,1993-11-30,13.823083154857159
Gallatin,1993-11-01,1993-11-30,-20.922884810715914
Paradise Valley,1993-11-01,1993-11-30,2.7279906049370766
Bitterroot,1993-12-01,1993-12-31,41.13416173681617
Gallatin,1993-12-01,1993-12-31,-13.143371094018221
Paradise Valley,1993-12-01,1993-12-31,8.837967187166214
Bitterroot,1994-01-01,1994-01-31,87.3453042153269
